last_draw_date,N1,N2,N3,N4,N5,N6,N7,next_draw_date,week,next_draw_prize_fund
2025-05-24,5,6,16,21,24,35,33,2025-06-01,7,8000000
2025-05-29,5,6,16,21,24,35,33,2025-06-01,7,8000000
